Name	Type 1	Type 2	Total	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
Accelgor	Bug		495	80	70	40	100	60	145
Floatzel	Water		495	85	105	55	85	50	115
Mismagius	Ghost		495	60	60	60	105	105	105
Rampardos	Rock		495	97	165	60	65	50	58
Magmar	Fire		495	65	95	57	100	85	93
Pangoro	Fighting	Dark	495	95	124	78	69	71	58
Golem	Rock	Ground	495	80	120	130	55	65	45
Kabutops	Rock	Water	495	60	115	105	65	70	80
Armaldo	Rock	Bug	495	75	125	100	70	80	45
Zebstrika	Electric		497	75	100	63	80	63	116
Drifblim	Ghost	Flying	498	150	80	44	90	54	80
Simipour	Water		498	75	98	63	98	63	101
Simisage	Grass		498	75	98	63	98	63	101
Simisear	Fire		498	75	98	63	98	63	101
Talonflame	Fire	Flying	499	78	81	71	74	69	126
Heracross	Bug	Fighting	500	80	125	75	40	95	85
Drapion	Poison	Dark	500	70	90	110	60	75	95
Gengar	Ghost	Poison	500	60	65	60	130	75	110
Leavanny	Bug	Grass	500	75	103	80	70	80	92
Barbaracle	Rock	Water	500	72	105	115	54	86	68
Scizor	Bug	Steel	500	70	130	100	55	80	65
Houndoom	Dark	Fire	500	75	90	50	110	80	95
Claydol	Ground	Psychic	500	60	70	105	70	120	75
Carbink	Rock	Fairy	500	50	50	150	50	150	50
Bronzong	Steel	Psychic	500	67	89	116	79	116	33
Wailord	Water		500	170	90	45	90	45	60
Stoutland	Normal		500	85	110	90	45	90	80
Pinsir	Bug		500	65	125	100	55	70	85
Clawitzer	Water		500	71	73	88	120	89	59
Rapidash	Fire		500	65	100	70	80	80	105
Ursaring	Normal		500	90	130	75	75	75	55
Alakazam	Psychic		500	55	50	45	135	95	120
Politoed	Water		500	90	75	75	90	100	70
Donphan	Ground		500	90	120	120	60	60	50
Golduck	Water		500	80	82	78	95	80	85
Muk	Poison		500	105	105	75	65	100	50
Scyther	Bug	Flying	500	70	110	80	55	80	105
Hawlucha	Fighting	Flying	500	78	92	75	74	63	118
Nidoqueen	Poison	Ground	505	90	92	87	75	85	76
Honchkrow	Dark	Flying	505	100	125	52	105	52	71
Nidoking	Poison	Ground	505	81	102	77	85	75	85
Ninetales	Fire		505	73	76	75	81	100	100
Machamp	Fighting		505	90	130	80	65	85	55
Conkeldurr	Fighting		505	105	140	95	55	65	45
Shuckle	Bug	Rock	505	20	10	230	10	230	5
Pyroar	Fire	Normal	507	86	68	72	109	66	106
Excadrill	Ground	Steel	508	110	135	60	50	65	88
Seismitoad	Water	Ground	509	105	95	75	85	75	74
MedichamMega Medicham	Fighting	Psychic	510	60	100	85	80	85	100
Poliwrath	Water	Fighting	510	90	95	95	70	90	70
Gliscor	Ground	Flying	510	75	95	125	45	75	95
Mandibuzz	Dark	Flying	510	110	65	105	55	95	80
Braviary	Normal	Flying	510	100	123	75	57	75	80
Steelix	Steel	Ground	510	75	85	200	55	65	30
Mienshao	Fighting		510	65	125	60	95	60	105
Ampharos	Electric		510	90	75	85	115	90	55
Zoroark	Dark		510	60	105	60	120	60	105
Weavile	Dark	Ice	510	70	120	65	45	85	125
Avalugg	Ice		514	95	117	184	44	46	28
Yanmega	Bug	Flying	515	86	76	86	116	56	95
Roserade	Grass	Poison	515	60	70	65	125	105	90
Aerodactyl	Rock	Flying	515	80	105	65	60	75	130
Porygon2	Normal		515	85	80	90	105	95	60
Eelektross	Electric		515	85	115	80	105	80	50
Lickilicky	Normal		515	110	85	95	80	95	50
Gigalith	Rock		515	85	135	130	60	80	25
Tentacruel	Water	Poison	515	80	70	65	80	120	100
Gallade	Psychic	Fighting	518	68	125	65	65	115	80
Gardevoir	Psychic	Fairy	518	68	65	65	125	115	80
Krookodile	Ground	Dark	519	95	117	80	65	70	92
Chandelure	Ghost	Fire	520	60	55	90	145	90	80
AegislashBlade Forme	Steel	Ghost	520	60	150	50	150	50	60
Flygon	Ground	Dragon	520	80	100	80	80	80	100
RotomWash Rotom	Electric	Water	520	50	65	107	105	107	86
RotomMow Rotom	Electric	Grass	520	50	65	107	105	107	86
AegislashShield Forme	Steel	Ghost	520	60	50	150	50	150	60
Klinklang	Steel		520	60	100	115	70	85	90
RotomHeat Rotom	Electric	Fire	520	50	65	107	105	107	86
RotomFan Rotom	Electric	Flying	520	50	65	107	105	107	86
Exeggutor	Grass	Psychic	520	95	95	85	125	65	55
Starmie	Water	Psychic	520	60	75	85	100	85	115
RotomFrost Rotom	Electric	Ice	520	50	65	107	105	107	86
Tyrantrum	Rock	Dragon	521	82	121	119	69	59	71
Aurorus	Rock	Ice	521	123	77	72	99	92	58
Luxray	Electric		523	80	120	79	95	79	70
Torterra	Grass	Ground	525	95	109	105	75	85	56
Probopass	Rock	Steel	525	60	55	145	75	150	40
Lucario	Fighting	Steel	525	70	110	70	115	70	90
Venusaur	Grass	Poison	525	80	82	83	100	100	80
Cloyster	Water	Ice	525	50	95	180	85	45	70
Dusknoir	Ghost		525	45	100	135	65	135	45
Espeon	Psychic		525	65	65	60	130	95	110
Jolteon	Electric		525	65	65	60	110	95	130
Sylveon	Fairy		525	95	65	65	110	130	60
Hippowdon	Ground		525	108	112	118	68	72	47
Vaporeon	Water		525	130	65	60	110	95	65
Flareon	Fire		525	65	130	60	95	110	65
Meganium	Grass		525	80	82	100	83	100	80
Glaceon	Ice		525	65	60	110	130	95	65
Umbreon	Dark		525	95	65	110	60	130	65
Leafeon	Grass		525	65	110	130	60	65	95
Serperior	Grass		528	75	75	95	75	95	113
Samurott	Water		528	95	100	85	108	70	70
Emboar	Fire	Fighting	528	110	123	65	100	65	65
Blaziken	Fire	Fighting	530	80	120	70	110	70	80
Walrein	Ice	Water	530	110	80	90	95	90	65
Empoleon	Water	Steel	530	84	86	88	111	101	60
Aggron	Steel	Rock	530	70	110	180	60	60	50
Chesnaught	Grass	Fighting	530	88	107	122	74	75	64
Mamoswine	Ice	Ground	530	110	130	80	70	60	80
Greninja	Water	Dark	530	72	95	67	103	71	122
Blastoise	Water		530	79	83	100	85	105	78
Feraligatr	Water		530	85	105	100	79	83	78
Sceptile	Grass		530	70	85	65	105	85	120
Gogoat	Grass		531	123	100	62	97	81	68
Infernape	Fire	Fighting	534	76	104	71	104	71	108
Charizard	Fire	Flying	534	78	84	78	109	85	100
Delphox	Fire	Psychic	534	75	69	72	114	100	104
Typhlosion	Fire		534	78	84	78	109	85	100
Rhyperior	Ground	Rock	535	115	140	130	55	55	40
Lapras	Water	Ice	535	130	85	80	85	95	60
Noivern	Flying	Dragon	535	85	70	80	97	80	123
Crobat	Poison	Flying	535	85	90	80	70	80	130
Tangrowth	Grass		535	100	100	125	110	50	50
Vanilluxe	Ice		535	71	95	85	110	95	79
Porygon-Z	Normal		535	85	80	70	135	75	90
Swampert	Water	Ground	535	100	110	90	85	90	60
Magnezone	Electric	Steel	535	70	70	115	130	90	60
Kingdra	Water	Dragon	540	75	95	95	95	95	85
DarmanitanZen Mode	Fire	Psychic	540	105	30	105	140	105	55
Gyarados	Water	Flying	540	95	125	79	60	100	81
Electivire	Electric		540	75	123	67	95	85	95
Magmortar	Fire		540	75	95	67	125	95	83
Haxorus	Dragon		540	76	147	90	60	70	97
Snorlax	Normal		540	160	110	65	65	110	30
Milotic	Water		540	95	60	79	100	125	81
Blissey	Normal		540	255	10	10	75	135	55
Togekiss	Fairy	Flying	545	85	50	95	120	115	80
AudinoMega Audino	Normal	Fairy	545	103	60	126	80	126	50
Volcarona	Bug	Fire	550	85	60	65	135	105	100
Florges	Fairy		552	78	65	68	112	154	75
Arcanine	Fire		555	90	110	80	100	80	95
BanetteMega Banette	Ghost		555	64	165	75	93	83	75
SharpedoMega Sharpedo	Water	Dark	560	70	140	70	110	65	105
CameruptMega Camerupt	Fire	Ground	560	70	120	100	145	105	20
AbsolMega Absol	Dark		565	65	150	60	115	60	115
Archeops	Rock	Flying	567	75	140	65	112	65	110
ManectricMega Manectric	Electric		575	70	75	80	135	80	135
PidgeotMega Pidgeot	Normal	Flying	579	83	80	80	135	80	121
ThundurusIncarnate Forme	Electric	Flying	580	79	115	70	125	80	111
KeldeoResolute Forme	Water	Fighting	580	91	72	90	129	90	108
Moltres	Fire	Flying	580	90	100	90	125	85	90
ThundurusTherian Forme	Electric	Flying	580	79	105	70	145	80	101
Virizion	Grass	Fighting	580	91	90	72	90	129	108
Terrakion	Rock	Fighting	580	91	129	90	72	90	108
Zapdos	Electric	Flying	580	90	90	85	125	90	100
Cobalion	Steel	Fighting	580	91	90	129	90	72	108
GlalieMega Glalie	Ice		580	80	120	80	120	80	100
Regice	Ice		580	80	50	100	100	200	50
KeldeoOrdinary Forme	Water	Fighting	580	91	72	90	129	90	108
Uxie	Psychic		580	75	75	130	75	130	95
TornadusIncarnate Forme	Flying		580	79	115	70	125	80	111
Regirock	Rock		580	80	100	200	50	100	50
TornadusTherian Forme	Flying		580	79	100	80	110	90	121
Azelf	Psychic		580	75	125	70	125	70	115
Raikou	Electric		580	90	85	75	115	100	115
Suicune	Water		580	100	75	115	90	115	85
Entei	Fire		580	115	115	85	90	75	100
Mesprit	Psychic		580	80	105	105	105	105	80
Articuno	Ice	Flying	580	90	85	100	95	125	85
Registeel	Steel		580	80	75	150	75	150	50
LopunnyMega Lopunny	Normal	Fighting	580	65	136	94	54	96	135
SlowbroMega Slowbro	Water	Psychic	590	95	75	180	130	80	30
AltariaMega Altaria	Dragon	Fairy	590	75	110	110	110	105	80
KangaskhanMega Kangaskhan	Normal		590	105	125	100	60	100	100
AlakazamMega Alakazam	Psychic		590	55	50	65	175	95	150
AbomasnowMega Abomasnow	Grass	Ice	594	90	132	105	132	105	30
PinsirMega Pinsir	Bug	Flying	600	65	155	120	65	90	105
Latios	Dragon	Psychic	600	80	90	80	130	110	110
Victini	Psychic	Fire	600	100	100	100	100	100	100
MeloettaPirouette Forme	Normal	Fighting	600	100	128	90	77	77	128
Heatran	Fire	Steel	600	91	90	106	130	106	77
Diancie	Rock	Fairy	600	50	100	150	100	150	50
HoopaHoopa Confined	Psychic	Ghost	600	80	110	60	150	130	70
LandorusIncarnate Forme	Ground	Flying	600	89	125	90	115	80	101
Genesect	Bug	Steel	600	71	120	95	120	95	99
ScizorMega Scizor	Bug	Steel	600	70	150	140	65	100	75
HoundoomMega Houndoom	Dark	Fire	600	75	90	90	140	90	115
Tyranitar	Rock	Dark	600	100	134	110	95	100	61
Jirachi	Steel	Psychic	600	100	100	100	100	100	100
Zygarde50% Forme	Dragon	Ground	600	108	100	121	81	95	95
Salamence	Dragon	Flying	600	95	135	80	110	80	100
LandorusTherian Forme	Ground	Flying	600	89	145	90	105	80	91
GengarMega Gengar	Ghost	Poison	600	60	65	80	170	95	130
Metagross	Steel	Psychic	600	80	135	130	95	90	70
HeracrossMega Heracross	Bug	Fighting	600	80	185	115	40	105	75
Celebi	Psychic	Grass	600	100	100	100	100	100	100
Volcanion	Fire	Water	600	80	110	120	130	90	70
Dragonite	Dragon	Flying	600	91	134	95	100	100	80
Latias	Dragon	Psychic	600	80	80	90	110	130	110
MeloettaAria Forme	Normal	Psychic	600	100	77	77	128	128	90
ShayminSky Forme	Grass	Flying	600	100	103	75	120	75	127
Hydreigon	Dark	Dragon	600	92	105	90	125	90	98
DeoxysNormal Forme	Psychic		600	50	150	50	150	50	150
DeoxysAttack Forme	Psychic		600	50	180	20	180	20	150
DeoxysDefense Forme	Psychic		600	50	70	160	70	160	90
Goodra	Dragon		600	90	100	70	110	150	80
ShayminLand Forme	Grass		600	100	100	100	100	100	100
Cresselia	Psychic		600	120	70	120	75	130	85
Darkrai	Dark		600	70	90	90	135	90	125
DeoxysSpeed Forme	Psychic		600	50	95	90	95	90	180
Manaphy	Water		600	100	100	100	100	100	100
Mew	Psychic		600	100	100	100	100	100	100
Garchomp	Dragon	Ground	600	108	130	95	80	85	102
AmpharosMega Ampharos	Electric	Dragon	610	90	95	105	165	110	45
SteelixMega Steelix	Steel	Ground	610	75	125	230	55	95	30
AerodactylMega Aerodactyl	Rock	Flying	615	80	135	85	70	95	150
GardevoirMega Gardevoir	Psychic	Fairy	618	68	85	65	165	135	100
GalladeMega Gallade	Psychic	Fighting	618	68	165	95	65	115	110
LucarioMega Lucario	Fighting	Steel	625	70	145	88	140	70	112
VenusaurMega Venusaur	Grass	Poison	625	80	100	123	122	120	80
SceptileMega Sceptile	Grass	Dragon	630	70	110	75	145	85	145
BlazikenMega Blaziken	Fire	Fighting	630	80	160	80	130	80	100
AggronMega Aggron	Steel		630	70	140	230	60	80	50
BlastoiseMega Blastoise	Water		630	79	103	120	135	115	78
CharizardMega Charizard X	Fire	Dragon	634	78	130	111	130	85	100
CharizardMega Charizard Y	Fire	Flying	634	78	104	78	159	115	100
SwampertMega Swampert	Water	Ground	635	100	150	110	95	110	70
GyaradosMega Gyarados	Water	Dark	640	95	155	109	70	130	81
Kyurem	Dragon	Ice	660	125	130	90	130	90	95
Slaking	Normal		670	150	160	100	95	65	100
Groudon	Ground		670	100	150	140	100	90	90
Regigigas	Normal		670	110	160	110	80	110	100
Kyogre	Water		670	100	100	90	150	140	90
GiratinaOrigin Forme	Ghost	Dragon	680	150	120	100	120	100	90
Yveltal	Dark	Flying	680	126	131	95	131	98	99
HoopaHoopa Unbound	Psychic	Dark	680	80	160	60	170	130	80
Ho-oh	Fire	Flying	680	106	130	90	110	154	90
Palkia	Water	Dragon	680	90	120	100	150	120	100
Zekrom	Dragon	Electric	680	100	150	120	120	100	90
Rayquaza	Dragon	Flying	680	105	150	90	150	90	95
GiratinaAltered Forme	Ghost	Dragon	680	150	100	120	100	120	90
Dialga	Steel	Dragon	680	100	120	120	150	100	90
Reshiram	Dragon	Fire	680	100	120	100	150	120	90
Lugia	Psychic	Flying	680	106	90	130	90	154	110
Mewtwo	Psychic		680	106	110	90	154	90	130
Xerneas	Fairy		680	126	131	95	131	98	99
MetagrossMega Metagross	Steel	Psychic	700	80	145	150	105	110	110
LatiasMega Latias	Dragon	Psychic	700	80	100	120	140	150	110
GarchompMega Garchomp	Dragon	Ground	700	108	170	115	120	95	92
KyuremWhite Kyurem	Dragon	Ice	700	125	120	90	170	100	95
DiancieMega Diancie	Rock	Fairy	700	50	160	110	160	110	110
KyuremBlack Kyurem	Dragon	Ice	700	125	170	100	120	90	95
LatiosMega Latios	Dragon	Psychic	700	80	130	100	160	120	110
TyranitarMega Tyranitar	Rock	Dark	700	100	164	150	95	120	71
SalamenceMega Salamence	Dragon	Flying	700	95	145	130	120	90	120
Arceus	Normal		720	120	120	120	120	120	120
GroudonPrimal Groudon	Ground	Fire	770	100	180	160	150	90	90
KyogrePrimal Kyogre	Water		770	100	150	90	180	160	90
MewtwoMega Mewtwo X	Psychic	Fighting	780	106	190	100	154	100	130
RayquazaMega Rayquaza	Dragon	Flying	780	105	180	100	180	100	115
MewtwoMega Mewtwo Y	Psychic		780	106	150	70	194	120	140
